__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-07-15,US,United States,sales,Sales,TOTAL,69.73
HiringLabSectoralPosting,2020-07-16,US,United States,sales,Sales,TOTAL,69.88
HiringLabSectoralPosting,2020-07-17,US,United States,sales,Sales,TOTAL,70.02
HiringLabSectoralPosting,2020-07-18,US,United States,sales,Sales,TOTAL,70.01
HiringLabSectoralPosting,2020-07-19,US,United States,sales,Sales,TOTAL,70.21
HiringLabSectoralPosting,2020-07-20,US,United States,sales,Sales,TOTAL,70.51
HiringLabSectoralPosting,2020-07-21,US,United States,sales,Sales,TOTAL,70.67
HiringLabSectoralPosting,2020-07-22,US,United States,sales,Sales,TOTAL,70.87
HiringLabSectoralPosting,2020-07-23,US,United States,sales,Sales,TOTAL,71.02
HiringLabSectoralPosting,2020-07-24,US,United States,sales,Sales,TOTAL,71.13
HiringLabSectoralPosting,2020-07-25,US,United States,sales,Sales,TOTAL,71.43
HiringLabSectoralPosting,2020-07-26,US,United States,sales,Sales,TOTAL,71.55
HiringLabSectoralPosting,2020-07-27,US,United States,sales,Sales,TOTAL,71.49
HiringLabSectoralPosting,2020-07-28,US,United States,sales,Sales,TOTAL,71.51
HiringLabSectoralPosting,2020-07-29,US,United States,sales,Sales,TOTAL,71.49
HiringLabSectoralPosting,2020-07-30,US,United States,sales,Sales,TOTAL,71.52
HiringLabSectoralPosting,2020-07-31,US,United States,sales,Sales,TOTAL,71.66
HiringLabSectoralPosting,2020-08-01,US,United States,sales,Sales,TOTAL,71.81
HiringLabSectoralPosting,2020-08-02,US,United States,sales,Sales,TOTAL,71.92
HiringLabSectoralPosting,2020-08-03,US,United States,sales,Sales,TOTAL,72.07
HiringLabSectoralPosting,2020-08-04,US,United States,sales,Sales,TOTAL,72.22
HiringLabSectoralPosting,2020-08-05,US,United States,sales,Sales,TOTAL,72.29
HiringLabSectoralPosting,2020-08-06,US,United States,sales,Sales,TOTAL,72.29
HiringLabSectoralPosting,2020-08-07,US,United States,sales,Sales,TOTAL,72.35
HiringLabSectoralPosting,2020-08-08,US,United States,sales,Sales,TOTAL,72.41
HiringLabSectoralPosting,2020-08-09,US,United States,sales,Sales,TOTAL,72.45
HiringLabSectoralPosting,2020-08-10,US,United States,sales,Sales,TOTAL,72.49
HiringLabSectoralPosting,2020-08-11,US,United States,sales,Sales,TOTAL,72.54
HiringLabSectoralPosting,2020-08-12,US,United States,sales,Sales,TOTAL,72.56
HiringLabSectoralPosting,2020-08-13,US,United States,sales,Sales,TOTAL,72.68
HiringLabSectoralPosting,2020-08-14,US,United States,sales,Sales,TOTAL,72.73
HiringLabSectoralPosting,2020-08-15,US,United States,sales,Sales,TOTAL,72.53
HiringLabSectoralPosting,2020-08-16,US,United States,sales,Sales,TOTAL,72.63
HiringLabSectoralPosting,2020-08-17,US,United States,sales,Sales,TOTAL,72.74
HiringLabSectoralPosting,2020-08-18,US,United States,sales,Sales,TOTAL,72.74
HiringLabSectoralPosting,2020-08-19,US,United States,sales,Sales,TOTAL,72.79
HiringLabSectoralPosting,2020-08-20,US,United States,sales,Sales,TOTAL,72.82
HiringLabSectoralPosting,2020-08-21,US,United States,sales,Sales,TOTAL,72.73
HiringLabSectoralPosting,2020-08-22,US,United States,sales,Sales,TOTAL,72.84
HiringLabSectoralPosting,2020-08-23,US,United States,sales,Sales,TOTAL,72.68
HiringLabSectoralPosting,2020-08-24,US,United States,sales,Sales,TOTAL,72.5
HiringLabSectoralPosting,2020-08-25,US,United States,sales,Sales,TOTAL,72.47
HiringLabSectoralPosting,2020-08-26,US,United States,sales,Sales,TOTAL,72.43
HiringLabSectoralPosting,2020-08-27,US,United States,sales,Sales,TOTAL,72.41
HiringLabSectoralPosting,2020-08-28,US,United States,sales,Sales,TOTAL,72.47
HiringLabSectoralPosting,2020-08-29,US,United States,sales,Sales,TOTAL,72.51
